Id,Price
4567,148574.21951718951
5925,119912.02317590914
960,145644.92821220763
3848,125177.41723915952
746,176363.57514999047
868,347683.4788433786
672,113449.50504230233
2471,214541.4982475863
4510,140280.47338748918
8354,211087.87950865805
6393,171693.32193220835
13270,228946.55045561644
5250,278124.2097054762
16751,183403.20435221336
11404,130949.0186665812
10588,361977.61900915235
14925,188412.97783943822
6791,232385.02497045175
16097,177252.09783742254
16428,361042.1930168168
6945,352369.37264409015
3190,187938.29888293977
15709,429344.1481005577
13155,176262.64425731238
7675,175079.01005559132
14686,232443.56445931873
609,147869.8296873982
11155,136879.42664083984
10869,201297.52017728993
15742,186639.25506468688
9245,196695.18232213013
3340,176799.79912746215
2359,286576.43355543044
8070,186215.35096058913
13707,128786.95619673595
16079,302522.77645225124
15937,251207.29666071953
14090,186352.74258970784
9008,223680.28586745512
16384,179742.39762784855
11657,245841.3237386676
13151,149253.56554743065
8990,157904.53745648067
11857,190938.36737870355
1565,159559.129615381
8174,120709.47805549212
9247,231835.727237114
10478,217396.51368383013
15509,149143.27434677436
8306,165654.88611916732
6642,179143.26631726857
7472,212441.53951234513
15989,128853.53123052944
13682,130654.86282316828
163,328349.200133795
7076,184615.46489610738
7478,347256.5336096497
3029,190765.62328485824
1814,140560.1241961348
10057,132862.44220233744
15100,208225.24438301937
12694,238945.56244465287
6291,176160.9236091389
12603,225694.1102516251
3218,247396.12304702454
13456,129230.52984898792
10170,235601.24276072482
4530,161311.20476278893
13329,178624.22011806633
4820,141316.60084737075
10896,162196.70364528612
13416,116182.41708908409
2701,196745.81126632035
11265,337329.13713817555
9189,242809.0311496364
1858,170282.63010696566
14536,237264.45314170723
6199,278153.41848650895
14730,152723.77762215093
7510,274416.61628604715
15505,162459.32682642224
7446,192321.63033084624
14016,155139.8300871097
14113,113822.06560126213
8721,320625.6170530986
6193,268317.0394387596
5717,182908.73776552654
5427,310409.81175016525
9520,526827.5308696578
6869,95523.35354747303
1658,147602.82883111542
6639,182293.11231720157
6283,195421.66675022643
6257,120024.01621458335
15235,170773.27397260806
902,202778.41821459244
8932,194723.49592761352
16469,313517.5058890296
2825,238278.70933232372
6450,451826.7098243337
11366,179014.5622537114
3801,326979.4250724914
11385,171838.8049679477
1079,210402.04254604885
3202,273121.82684461103
676,208778.60693497394
6185,282027.87869345024
7730,156749.67559646055
2573,178893.26935025363
10978,209113.61697469142
10962,233312.51180370981
8870,206757.5481527372
8496,185132.36928168405
5517,171318.75264043213
927,192324.53209967003
13675,186290.79010487086
1499,232742.92778186902
15536,327394.7326225036
8602,339035.89085166535
12137,440995.3676466604
9865,263056.059720657
16353,277867.9973863787
15908,217774.77715110497
3944,171854.2365530061
10359,214362.16650599372
15158,219425.74731557426
3259,266242.6221107752
7220,316466.8649099593
13843,210636.35938119027
16736,177066.49621191132
702,250459.8853022355
16401,98621.14887522733
12134,179239.94846747874
6918,221276.86626818407
11792,130915.7500650122
3798,123767.63559893005
10395,126832.27852963298
11099,113985.25941186145
7090,198509.70176856883
11260,194603.65109815582
9647,207369.50025569598
2903,398250.91685549536
2071,186689.9185406602
8604,190861.98988331732
9346,190555.71387265399
3945,200589.4443786615
3420,145978.16505759934
10842,130561.13413431369
725,148112.85994196063
13931,208538.12928454988
16330,202704.7994174321
9066,374232.1198283594
3326,318178.2030123984
1556,286129.6050578726
6579,101198.26740558138
13877,136944.62421243402
9857,325217.33221569733
7302,236348.52711679722
5684,189015.0845290578
6513,226122.17825684484
11342,117256.16386648495
16561,208117.28688690026
6885,178107.6416409716
9308,188692.55028406734
2559,170802.64594029836
6648,183641.38328656333
15260,154672.3306491376
5113,191274.10936176454
16492,202820.62149177992
12034,294807.42356381984
7248,195129.74110880788
2171,206872.37668693735
10594,168910.06831125746
13241,193698.89383211595
7032,144719.6923085835
4884,155487.71543549764
903,226390.45443127226
162,150414.5274524067
6566,239270.3754764174
8249,123365.90399715159
13106,178152.98889806392
256,126316.87014774699
7976,187029.63025006474
8575,163221.58206040793
7591,256589.01505652026
3204,262704.04173135164
15804,184647.38387275196
1525,311381.15440299804
9038,198407.1748888688
13628,207826.99458556794
10016,200686.1981941444
10208,216862.88304082135
